Name,RAB1950,DEB1950,pm,pmPA,RV,Sp,Vmag,B-V,plx,_RA,_DE
NN 3061 ,00 47 52,+24 32.7, 0.220,102.0,      ,m           , 13.30,     ,  71.0,00 50 33,+24 49.0
NN 3062 ,00 47 54,-27 42.6, 0.166, 65.8,      ,A3          ,  9.60, 0.89,  20.0,00 50 21,-27 26.2
Gl 38   ,00 48 23,+58 01.5, 1.549, 75.9, -16.6,dM2         , 10.67, 1.39,  53.5,00 51 30,+58 18.1
Gl 39   ,00 48 43,+18 28.3, 0.270,173.3,   6.5,dK6         ,  9.24, 1.21,  48.0,00 51 22,+18 44.4
GJ 2015 ,00 48 56,-27 39.5, 0.016,115.6,      ,K0          , 10.41, 1.08,  21.0,00 51 22,-27 23.2
Gl 40   ,00 49 04,-23 10.8, 0.681,114.1,  15.4,K5 V        ,  8.96, 1.29,  69.2,00 51 34,-22 54.7
Gl 40   ,00 49 06,-23 10.7, 0.678,113.5,      ,m           , 17.30,     ,  69.2,00 51 36,-22 54.6
Gl 41   ,00 50 04,+60 51.0, 0.193,340.5,  20.8,F8 V        ,  4.82, 0.53,  76.0,00 53 04,+61 07.4
NN 3063 ,00 50 06,-41 31.0, 0.059,212.0,      ,M3          , 11.92, 1.49,  42.0,00 52 27,-41 14.8
Gl 42   ,00 50 34,-30 37.7, 0.622, 85.9,  -7.0,K3 V        ,  7.17, 0.93,  69.0,00 53 01,-30 21.4
GJ 1023 ,00 51 05,+68 46.6, 0.094,253.9,      ,G0          ,  9.70, 0.55,  53.3,00 54 17,+69 02.8
GJ 1023 ,00 51 07,+68 46.6, 0.090,250.6,      ,            , 10.40, 0.64,  53.3,00 54 19,+69 02.8
Gl 42.1 ,00 52 19,+23 49.9, 0.249,226.1,  -8.6,G5          ,  7.38, 0.65,  32.0,00 54 59,+24 06.0
Gl 43   ,00 53 10,-52 06.5, 0.470, 41.0,      ,m           , 12.36, 1.51,  61.6,00 55 25,-51 50.0
NN 3064 ,00 53 20,-11 44.1, 0.451,348.0,      ,DA7         , 15.25, 0.35,  43.0,00 55 50,-11 27.5
NN 3065 ,00 53 23,-29 56.9, 0.452, 64.5,   9.5,K5 V        ,  9.48, 1.18,  40.0,00 55 49,-29 40.5
NN 3066 ,00 53 42,+68 46.6, 0.749,107.3, -49.4,K4 V        ,  9.10, 1.03,  37.0,00 57 04,+69 02.6
NN 3067 ,00 53 54,-28 24.5, 0.160,136.0,      ,            , 10.96, 0.96,  43.9,00 56 20,-28 08.4
GJ 1024 ,00 53 58,+17 11.6, 0.728,113.9,      ,m           , 13.71, 1.64,  57.4,00 56 39,+17 27.6
Gl 44   ,00 54 48,-02 05.0, 0.321,238.2, -47.8,K1          ,  9.46, 0.86,  70.0,00 57 20,-01 48.9
Gl 45   ,00 55 10,-62 31.0, 1.035, 82.9,  11.0,K7 V        ,  9.50, 1.30,  59.9,00 57 20,-62 14.7
Gl 46   ,00 55 58,-28 07.3, 1.305,102.7,  43.0,M3.5        , 11.77, 1.57,  71.7,00 58 28,-27 51.4
GJ 2017 ,00 57 26,-25 51.6, 0.050,225.1,      ,G0          ,  9.87, 0.50,  57.9,00 59 51,-25 35.5
Gl 46.1 ,00 57 36,+17 55.8, 0.095,167.0, -36.7,G5          ,  7.33, 1.07,  50.8,01 00 15,+18 11.9
NN 3068 ,00 57 38,+66 40.8, 0.270,257.0,      ,m           , 13.28,     ,  45.0,01 00 49,+66 56.9
GJ 2018 ,00 57 51,-25 53.0, 0.426, 95.0,      ,K2          ,  9.95, 1.11,  27.0,01 00 18,-25 36.9
GJ 2019 ,00 58 12,-26 54.3, 0.120,175.3,      ,K0          , 10.11, 0.76,  49.9,01 00 37,-26 38.3
Gl 47   ,00 58 13,+61 06.5, 0.840,158.0,   8.7,dM2.5e      , 10.83, 1.57,  92.4,01 01 20,+61 22.0
GJ 1025 ,00 58 20,-04 43.5, 1.326, 70.5,   8.0,            , 13.32, 1.73,  60.0,01 00 57,-04 27.0
Gl 48   ,00 58 48,+71 25.0, 1.783,101.2,   0.8,dM3.5e      , 10.04, 1.46, 115.5,01 02 33,+71 40.8
Wo 9035 ,00 59 04,+81 50.0, 0.186,252.2, -50.7,dG2         ,  8.45, 0.60,  40.2,01 03 39,+82 06.1
NN 3069 ,00 59 04,+53 54.8, 0.385,250.0,      ,m           , 15.12, 1.84,  66.0,01 02 00,+54 10.8
GJ 2020 ,00 59 24,-26 09.3, 0.088,183.5,      ,F0 V        ,  9.75, 0.33,  84.9,01 01 49,-25 53.3
Gl 49   ,00 59 27,+62 04.5, 0.686, 84.3,  -5.6,K5 V        ,  9.56, 1.50, 112.6,01 02 39,+62 20.7
Gl 50   ,00 59 27,-10 08.9, 0.566,202.2,  -0.4,K5 V        , 10.50, 1.25,  29.0,01 01 57,-09 53.2
NN 3070 ,00 59 29,-26 01.9, 0.130, 38.0,      ,            , 11.84, 1.23,  41.9,01 01 55,-25 45.7
NN 3071 ,00 59 48,+04 47.4, 0.386, 54.7,  19.7,K0          ,  8.20, 1.00,  43.0,01 02 24,+05 03.7
NN 3072 ,00 59 54,-10 41.0, 0.131,357.0, -20.0,K7 V        , 10.04, 1.35,  49.0,01 02 24,-10 24.8
